
                             _V:V1 PI: PART-1-
                  X               1 N: 818    

                0.                 0.         
                1.E-06             0.         
                2.E-06             0.         
                3.E-06             0.         
                4.E-06             0.         
                5.E-06             0.         
                6.E-06             0.         
                7.E-06             0.         
                8.E-06             0.         
                9.E-06             0.         
               10.E-06             0.         
               11.E-06             0.         
               12.E-06             0.         
               13.E-06             0.         
               14.E-06             0.         
               15.E-06             0.         
               16.E-06             0.         
               17.E-06             0.         
               18.E-06             0.         
               19.E-06             0.         
               20.E-06             0.         
               21.E-06             0.         
               22.E-06             0.         
               23.E-06             0.         
               24.E-06             0.         
               25.E-06             0.         
               26.E-06             0.         
               27.E-06             0.         
               28.E-06             0.         
               29.E-06             0.         
               30.E-06             0.         
               31.E-06             0.         
               32.E-06             0.         
               33.E-06             0.         
               34.E-06             0.         
               35.E-06             0.         
               36.E-06             0.         
               37.E-06             0.         
               38.E-06             0.         
               39.E-06             0.         
               40.E-06             0.         
               41.E-06             0.         
               42.E-06             0.         
               43.E-06             0.         
               44.E-06             0.         
               45.E-06             0.         
               46.E-06             0.         
               47.E-06             0.         
               48.E-06             0.         
               49.E-06             0.         
               50.E-06             0.         
               51.E-06             0.         
               52.E-06             0.         
               53.E-06             0.         
               54.E-06             0.         
               55.E-06             0.         
               56.E-06             0.         
               57.E-06             0.         
               58.E-06             0.         
               59.E-06             0.         
               60.E-06             0.         
               61.E-06             0.         
               62.E-06             0.         
               63.E-06             0.         
               64.E-06             0.         
               65.E-06             0.         
               66.E-06             0.         
               67.E-06             0.         
               68.E-06             0.         
               69.E-06             0.         
               70.E-06             0.         
               71.E-06             0.         
               72.E-06             0.         
               73.E-06             0.         
               74.E-06             0.         
               75.E-06             0.         
               76.E-06             0.         
               77.E-06             0.         
               78.E-06             0.         
               79.E-06             0.         
               80.E-06             0.         
               81.E-06             0.         
               82.E-06             0.         
               83.E-06             0.         
               84.E-06             0.         
               85.E-06             0.         
               86.E-06             0.         
               87.E-06             0.         
               88.E-06             0.         
               89.E-06             0.         
               90.E-06             0.         
               91.E-06             0.         
               92.E-06             0.         
               93.E-06             0.         
               94.E-06             0.         
               95.E-06             0.         
               96.E-06             0.         
               97.E-06             0.         
               98.E-06             0.         
               99.E-06             0.         
              100.E-06             0.         
              101.E-06             0.         
              102.E-06             0.         
              103.E-06             0.         
              104.E-06             0.         
              105.E-06             0.         
              106.E-06             0.         
              107.E-06             0.         
              108.E-06             0.         
              109.E-06             0.         
              110.E-06             0.         
              111.E-06             0.         
              112.E-06             0.         
              113.E-06             0.         
              114.E-06             0.         
              115.E-06             0.         
              116.E-06             0.         
              117.E-06             0.         
              118.E-06             0.         
              119.E-06             0.         
              120.E-06             0.         
              121.E-06             0.         
              122.E-06             0.         
              123.E-06             0.         
              124.E-06             0.         
              125.E-06             0.         
              126.E-06             0.         
              127.E-06             0.         
              128.E-06             0.         
              129.E-06             0.         
              130.E-06             0.         
              131.E-06             0.         
              132.E-06             0.         
              133.E-06             0.         
              134.E-06             0.         
              135.E-06             0.         
              136.E-06             0.         
              137.E-06             0.         
              138.E-06             0.         
              139.E-06             0.         
              140.E-06             0.         
              141.E-06             0.         
              142.E-06             0.         
              143.E-06           128.26E-36   
              144.E-06             2.09025E-33
              145.E-06            11.7215E-33 
              146.E-06            25.4952E-24 
              147.E-06           222.025E-24  
              148.E-06           896.343E-24  
              149.E-06             3.44708E-12
              150.E-06            17.8086E-12 
              151.E-06            54.4189E-12 
              152.E-06           131.732E-12  
              153.E-06           293.102E-12  
              154.E-06           625.352E-12  
              155.E-06             1.3016E-09 
              156.E-06             2.66407E-09
              157.E-06             5.38193E-09
              158.E-06            10.744E-09  
              159.E-06            21.2069E-09 
              160.E-06            41.3937E-09 
              161.E-06            79.9005E-09 
              162.E-06           152.526E-09  
              163.E-06           287.974E-09  
              164.E-06           537.783E-09  
              165.E-06           993.425E-09  
              166.E-06             1.81538E-06
              167.E-06             3.28193E-06
              168.E-06             5.87014E-06
              169.E-06            10.3884E-06 
              170.E-06            18.1909E-06 
              171.E-06            31.52E-06   
              172.E-06            54.0461E-06 
              173.E-06            91.7079E-06 
              174.E-06           154.004E-06  
              175.E-06           255.947E-06  
              176.E-06           420.998E-06  
              177.E-06           685.376E-06  
              178.E-06             1.10435E-03
              179.E-06             1.76124E-03
              180.E-06             2.78016E-03
